from,https://tools.miku.ac/cpu_rank/,https://tools-api-cn.hazymoon.vip/cpu_rank,,
,name,score,percentage,
1436,Intel Core i3-7100H @ 3.00GHz,3430,4,
1437,Intel Core i5-2500S @ 2.70GHz,3427,4,
1438,AMD Embedded R-Series RX-418GD Radeon R6,3426,4,
1439,Intel 000 @ 1.73GHz,3419,4,
1440,Intel Core i5-L16G7 @ 1.40GHz,3418,4,
1441,Intel Core i7-6560U @ 2.20GHz,3415,4,
1442,AMD Athlon X4 870K,3415,4,
1443,Qualcomm Technologies,score,percentage,4
1444,AMD A10-7850K APU,3413,4,
1445,Intel Pentium Silver N5020 @ 1.10GHz,3404,4,
1446,Intel Core i5-7200U @ 2.50GHz,3401,4,
1447,Intel Xeon E5-4603 @ 2.00GHz,3391,4,
1448,Intel Xeon W5580 @ 3.20GHz,3386,4,
1449,Intel Core i5-2300 @ 2.80GHz,3381,4,
1450,AMD Opteron 6136,3381,4,
1451,AMD FX-B4150 Quad-Core,3369,4,
1452,Intel Xeon W3570 @ 3.20GHz,3354,4,
1453,AMD PRO A8-9600,3347,4,
1454,Intel Core i3-4150 @ 3.50GHz,3346,4,
1455,Intel Core i5 K 655 @ 3.20GHz,3341,4,
1456,AMD Phenom II X6 1405T,3335,4,
1457,AMD A10-7860K,3330,4,
1458,Intel Core 750 @ 2.67GHz,3329,4,
1459,AMD Ryzen Embedded R1305G,3329,4,
1460,AMD FX-4150 Quad-Core,3327,4,
1461,Intel Xeon D-1520 @ 2.20GHz,3324,4,
1462,Intel Core i3-6100E @ 2.70GHz,3315,4,
1463,Intel Core i7-975 @ 3.33GHz,3311,4,
1464,AMD Athlon X4 840,3305,4,
1465,AMD Embedded R-Series RX-421BD,3302,4,
1466,Intel Xeon L5609 @ 1.87GHz,3298,4,
1467,Intel Xeon W3565 @ 3.20GHz,3297,4,
1468,Intel Core i3-4350 @ 3.60GHz,3297,4,
1469,Intel Core i5-6360U @ 2.00GHz,3296,4,
1470,Intel Core i7-6498DU @ 2.50GHz,3291,4,
1471,AMD Opteron X3421 APU,3289,4,
1472,Intel Core i3-10110Y @ 1.00GHz,3289,4,
1473,Intel Core i5-5287U @ 2.90GHz,3288,4,
1474,Intel Core i7-965 @ 3.20GHz,3288,4,
1475,AMD A10-8750,3281,4,
1476,Intel Core i3-4370T @ 3.30GHz,3280,4,
1477,Intel Core i3-7167U @ 2.80GHz,3280,4,
1478,Intel Core i7-6500U @ 2.50GHz,3278,4,
1479,Intel Core i7-2675QM @ 2.20GHz,3274,4,
1480,AMD A8-9600,3274,4,
1481,MT6833V/PNZA,3270,4,
1482,AMD FX-4350 Quad-Core,3266,4,
1483,Intel Core i3-4130 @ 3.40GHz,3265,4,
1484,AMD Opteron 4365 EE,3263,4,
1485,Intel Xeon X3480 @ 3.07GHz,3261,4,
1486,Intel Xeon X5570 @ 2.93GHz,3260,4,
1487,Intel Core i5-6300U @ 2.40GHz,3259,4,
1488,Intel Core i7-4600M @ 2.90GHz,3257,4,
1489,Intel Core i7-960 @ 3.20GHz,3254,4,
1490,Intel Core i7-5557U @ 3.10GHz,3253,4,
1491,Intel Core i5-4400E @ 2.70GHz,3251,4,
1492,AMD FX-4330,3248,4,
1493,AMD Phenom II X6 1065T,3244,4,
1494,Intel Core i3-4570T @ 2.90GHz,3244,4,
1495,Intel Pentium D1508 @ 2.20GHz,3240,4,
1496,Intel Core i5 660 @ 3.33GHz,3238,4,
1497,Intel Xeon W5590 @ 3.33GHz,3234,4,
1498,Intel Pentium Gold G5500T @ 3.20GHz,3234,4,
1499,Intel Core i5 670 @ 3.47GHz,3228,4,
1500,Intel Xeon L5638 @ 2.00GHz,3225,4,
1501,AMD PRO A8-8650B,3225,4,
1502,Intel Core i7 Q 740 @ 1.73GHz,3224,4,
1503,ARM Neoverse-N1 4 Core 0 MHz,3224,4,
1504,Intel Core i7-2715QE @ 2.10GHz,3221,4,
1505,Intel Pentium GOLD 6500Y @ 1.10GHz,3214,4,
1506,Intel Core i5-4330M @ 2.80GHz,3208,4,
1507,Intel Core i5-4570T @ 2.90GHz,3202,4,
1508,AMD A8-7600 APU,3200,4,
1509,AMD PRO A12-9800E,3191,4,
1510,Samsung Exynos 9820,3189,4,
1511,AMD A8-7670K,3187,4,
1512,Intel Core i7 Q 820 @ 1.73GHz,3185,4,
1513,AMD PRO A10-8770E,3181,4,
1514,Intel Pentium Silver N6000 @ 1.10GHz,3176,4,
1515,AMD A12-9800,3175,4,
1516,AMD FX-9830P,3174,4,
1517,AMD A12-9730P,3172,4,
1518,AMD A10 PRO-7800B APU,3171,4,
1519,Intel Core i5-6260U @ 1.80GHz,3169,4,
1520,AMD FX-4320,3167,4,
1521,Intel Core i3-4360T @ 3.20GHz,3164,4,
1522,Intel Core i5-6198DU @ 2.30GHz,3163,4,
1523,AMD A10-7300,3162,4,
1524,AMD Phenom II X6 1055T,3160,4,
1525,Intel Xeon X3470 @ 2.93GHz,3156,4,
1526,Intel Atom C3858 @ 2.00GHz,3154,4,
1527,Intel Core i5-4310M @ 2.70GHz,3151,4,
1528,MediaTek MT6853T,3150,4,
1529,Intel Xeon E7540 @ 2.00GHz,3148,4,
1530,Intel Xeon W3550 @ 3.07GHz,3147,4,
1531,Intel Core i7-4610M @ 3.00GHz,3140,4,
1532,Samsung Exynos 9825,3138,4,
1533,AMD Opteron X3418 APU,3137,4,
1534,Intel Core i3-4170T @ 3.20GHz,3137,4,
1535,MT6853V/TNZA,3136,4,
1536,AMD FX-4200 Quad-Core,3134,4,
1537,Intel Core i5-2400S @ 2.50GHz,3132,4,
1538,Intel Core i5 661 @ 3.33GHz,3131,4,
1539,Intel Core i7-5650U @ 2.20GHz,3130,4,
1540,Intel Pentium G4600T @ 3.00GHz,3130,4,
1541,AMD A10-6800K APU,3126,4,
1542,AMD A10 PRO-7350B R6,score,percentage,4
1543,AMD FX-4170 Quad-Core,3121,4,
1544,AMD Athlon X4 630,3121,4,
1545,Intel Core i3-4160T @ 3.10GHz,3121,4,
1546,Samsung Exynos 9810,3121,4,
1547,Intel Pentium Gold G5400T @ 3.10GHz,3119,4,
1548,AMD A10-7700K APU,3113,4,
1549,AMD A10-7800 APU,3111,4,
1550,AMD A10 PRO-7350B APU + AMD Radeon R6 Graphics,3106,4,
1551,Intel Core i7-950 @ 3.07GHz,3106,4,
1552,AMD Athlon Silver 3050U,3105,4,
1553,Intel Core i3-4330T @ 3.00GHz,3098,4,
1554,AMD Phenom II X6 1075T,3094,4,
1555,AMD FX-870K Quad Core,3094,4,
1556,Intel Core i5-4200H @ 2.80GHz,3086,4,
1557,Intel Core i5-4570TE @ 2.70GHz,3084,4,
1558,AMD A10-6700 APU,3083,4,
1559,Intel Core i3-6100TE @ 2.70GHz,3080,4,
1560,Intel Core i7-875K @ 2.93GHz,3073,4,
1561,Qualcomm Technologies,score,percentage,4
1562,Intel Core i7 Q 720 @ 1.60GHz,3068,3,
1563,ZHAOXIN KaiXian KX-U6580@2.5GHz,3066,3,
1564,AMD Athlon X3 450,3064,3,
1565,Intel Core i5-24050S @ 2.50GHz,3061,3,
1566,AMD Opteron 2435,3061,3,
1567,MT6853V/ZA,3058,3,
1568,Intel Core i3-5###U @ 2.00GHz,3057,3,
1569,Intel Core i7-870 @ 2.93GHz,3047,3,
1570,Intel Pentium Silver J5005 @ 1.50GHz,3046,3,
1571,Intel Xeon X5560 @ 2.80GHz,3045,3,
1572,Intel Core i7 860 @ 2.80GHz,3040,3,
1573,Intel Celeron J4125 @ 2.00GHz,3039,3,
1574,Intel Core i5-7Y57 @ 1.20GHz,3033,3,
1575,Intel Core i5-4308U @ 2.80GHz,3031,3,
1576,Intel Core i5-6200U @ 2.30GHz,3024,3,
1577,AMD Phenom II X4 05e,3021,3,
1578,Intel Core m3-8100Y @ 1.10GHz,3019,3,
1579,Intel Core i5-5257U @ 2.70GHz,3018,3,
1580,AMD Opteron 6128 HE,3015,3,
1581,AMD A10-6790K APU,3014,3,
1582,Intel Core i3-6100H @ 2.70GHz,3014,3,
1583,AMD PRO A12-8870E,3014,3,
1584,AMD PRO A10-9700E,3011,3,
1585,Intel Core i5-4300M @ 2.60GHz,3008,3,
1586,Intel Core i7-940 @ 2.93GHz,3008,3,
1587,SMDK4x12,3006,3,
1588,AMD Phenom 2 X4 12000,3005,3,
1589,AMD Phenom II X6 1045T,3003,3,
1590,Intel Core i7-4558U @ 2.80GHz,3002,3,
1591,AMD Phenom 7950 Quad-Core,2991,3,
1592,AMD PRO A8-8670E,2989,3,
1593,Intel Xeon W3530 @ 2.80GHz,2983,3,
1594,Intel Core i5-2405S @ 2.50GHz,2980,3,
1595,Intel Xeon E5-2637 @ 3.00GHz,2978,3,
1596,Intel Core i5-3380M @ 2.90GHz,2977,3,
1597,AMD A6-7400K Radeon R5,score,percentage,3
1598,Intel Core i7-5600U @ 2.60GHz,2969,3,
1599,Intel Core i3-7130U @ 2.70GHz,2969,3,
1600,Hisilicon Kirin810,2969,3,
1601,Intel Pentium G4560T @ 2.90GHz,2968,3,
1602,Intel Core i5-4210H @ 2.90GHz,2965,3,
1603,Intel Xeon X5550 @ 2.67GHz,2964,3,
1604,AMD A8 PRO-7150B R5,score,percentage,3
1605,AMD A8-7650K,2963,3,
1606,AMD A8-6600K APU,2955,3,
1607,MT6833V/NZA,2953,3,
1608,AMD Opteron 2374 HE,2951,3,
1609,Intel Core i7-4560U @ 1.60GHz,2950,3,
1610,Intel Core i5-4210M @ 2.60GHz,2949,3,
1611,AMD Athlon X4 760K Quad Core,2947,3,
1612,Intel Core i5-3470T @ 2.90GHz,2947,3,
1613,AMD A10-9630P,2947,3,
1614,Intel Pentium G4520 @ 3.60GHz,2945,3,
1615,Intel Xeon L5630 @ 2.13GHz,2943,3,
1616,AMD FX-4300 Quad-Core,2942,3,
1617,AMD Opteron 4122,2942,3,
1618,AMD Opteron 6134,2938,3,
1619,AMD Phenom II X6 1035T,2937,3,
1620,AMD Opteron 2431,2936,3,
1621,MT6833,2933,3,
1622,Six-Core AMD Opteron 2419 EE,2926,3,
1623,Intel Core i3 560 @ 3.33GHz,2923,3,
1624,AMD A10-5800K APU,2921,3,
1625,AMD Athlon Silver 3050e,2921,3,
1626,Qualcomm Technologies,score,percentage,3
1627,Qualcomm Technologies,score,percentage,3
1628,Intel Celeron J4105 @ 1.50GHz,2912,3,
1629,Intel Core i7-5550U @ 2.00GHz,2908,3,
1630,AMD Athlon II X4 620e,2906,3,
1631,MT6833V/ZA,2902,3,
1632,AMD Athlon X4 830,2901,3,
1633,Qualcomm Technologies,score,percentage,3
1634,AMD FX-670K Quad-Core,2897,3,
1635,AMD A10-5800B APU,2897,3,
1636,AMD Athlon X4 635,2891,3,
1637,Intel Xeon W3540 @ 2.93GHz,2890,3,
1638,Intel Core i3-4350T @ 3.10GHz,2888,3,
1639,Intel Core i7-8500Y @ 1.50GHz,2888,3,
1640,Intel Core m3-7Y32 @ 1.10GHz,2887,3,
1641,Intel Core i5-3360M @ 2.80GHz,2884,3,
1642,Intel Core i7-3540M @ 3.00GHz,2878,3,
1643,Intel Core i7-4578U @ 3.00GHz,2878,3,
1644,Intel Core i3-4130T @ 2.90GHz,2876,3,
1645,Intel Core i7-930 @ 2.80GHz,2874,3,
1646,Intel Core i7 M 640 @ 2.80GHz,2873,3,
1647,Intel Xeon E5-2403 v2 @ 1.80GHz,2873,3,
1648,Intel Celeron G5925 @ 3.60GHz,2873,3,
1649,MediaTek MT6785V/CC,2872,3,
1650,AMD Opteron 4184,2872,3,
1651,Intel Core i7-3520M @ 2.90GHz,2871,3,
1652,Intel Core i3 550 @ 3.20GHz,2867,3,
1653,Intel Core i7-860 @ 2.80GHz,2866,3,
1654,AMD A8-7100 Radeon R5,score,percentage,3
1655,AMD A8-6500B APU,2857,3,
1656,AMD FX-7600P APU,2856,3,
1657,Intel Core i5-2500T @ 2.30GHz,2852,3,
1658,Intel Core i3-4150T @ 3.00GHz,2846,3,
1659,Intel Xeon E3-1220L V2 @ 2.30GHz,2845,3,
1660,Intel Xeon E5-4620 v2 @ 2.60GHz,2845,3,
1661,Intel Celeron G5905 @ 3.50GHz,2842,3,
1662,MT6785,2838,3,
1663,Celeron Dual-Core Q8300 @ 2.50GHz,2837,3,
1664,Intel Core i5-8210Y @ 1.60GHz,2834,3,
1665,Qualcomm Technologies,score,percentage,3
1666,MediaTek MT6785V/CD,2834,3,
1667,Qualcomm Technologies,score,percentage,3
1668,AMD Phenom II X4 980,2829,3,
1669,AMD Opteron 6128,2826,3,
1670,AMD Opteron 3350 HE,2825,3,
1671,AMD A10-6800B APU,2824,3,
1672,AMD PRO A10-8750B,2824,3,
1673,AMD Opteron 2350,2820,3,
1674,Qualcomm Technologies,score,percentage,3
1675,Intel Celeron G5920 @ 3.50GHz,2807,3,
1676,Intel Core i7-880 @ 3.07GHz,2803,3,
1677,Intel Core i7 E 610 @ 2.53GHz,2800,3,
1678,AMD A8-6500 APU,2799,3,
1679,Intel Xeon X3450 @ 2.67GHz,2792,3,
1680,Intel Core i5-4278U @ 2.60GHz,2789,3,
1681,AMD Opteron 6172,2789,3,
1682,Intel Core i5-4200M @ 2.50GHz,2788,3,
1683,Intel Core i7-870S @ 2.67GHz,2786,3,
1684,Intel Core2 Extreme X9775 @ 3.20GHz,2780,3,
1685,Intel Atom C2750 @ 2.40GHz,2775,3,
1686,AMD A8-8650,2774,3,
1687,Qualcomm Technologies,score,percentage,3
1688,Intel E3000 @ 3.40GHz,2767,3,
1689,AMD A8-5600K APU,2765,3,
1690,Intel Celeron G5900 @ 3.40GHz,2765,3,
1691,AMD FX-8800P,2764,3,
1692,AMD A10-9700E,2763,3,
1693,MT6853V/NZA,2763,3,
1694,AMD GX-424CC SOC with Radeon R5E Graphics,2762,3,
1695,Qualcomm Technologies,score,percentage,3
1696,Qualcomm Technologies,score,percentage,3
1697,Intel Core i3-6157U @ 2.40GHz,2758,3,
1698,Intel Xeon W3520 @ 2.67GHz,2754,3,
1699,Intel Core 860 @ 2.80GHz,2754,3,
1700,AMD A8 PRO-7600B APU,2753,3,
1701,Intel Xeon E5-2603 v2 @ 1.80GHz,2751,3,
1702,AMD A10-5700 APU,2748,3,
1703,Intel Xeon X3460 @ 2.80GHz,2744,3,
1704,Intel Core i7 M 620 @ 2.67GHz,2741,3,
1705,Intel Xeon E5540 @ 2.53GHz,2738,3,
1706,Intel Core i7-860S @ 2.53GHz,2725,3,
1707,AMD RX-425BB,2724,3,
1708,Intel Celeron J4115 @ 1.80GHz,2723,3,
1709,Intel Core i5-5300U @ 2.30GHz,2722,3,
1710,Qualcomm Technologies,score,percentage,3
1711,AMD A8-6410 APU with AMD Radeon R5 Graphics,2719,3,
1712,Intel Core i7-5500U @ 2.40GHz,2719,3,
1713,AMD A6-9400,2717,3,
1714,AMD PRO A12-8800B,2716,3,
1715,AMD Phenom X4 Quad-Core GP-9830,2715,3,
1716,AMD RX-427BB,2715,3,
1717,Intel Celeron G4950 @ 3.30GHz,2714,3,
1718,Intel Core i7-920 @ 2.67GHz,2713,3,
1719,AMD FX-4130 Quad-Core,2708,3,
1720,Intel Xeon X5492 @ 3.40GHz,2705,3,
1721,Intel Core i5-7Y54 @ 1.20GHz,2705,3,
1722,Intel Core i7-4600U @ 2.10GHz,2697,3,
1723,Intel Pentium G4500 @ 3.50GHz,2696,3,
1724,AMD PRO A12-9800B,2696,3,
1725,Intel Core i3-7100U @ 2.40GHz,2693,3,
1726,AMD Athlon X4 750K Quad Core,2690,3,
1727,AMD Phenom X4 Quad-Core GP-9930,2690,3,
1728,Intel Xeon X5470 @ 3.33GHz,2689,3,
1729,Intel Core i3 540 @ 3.07GHz,2687,3,
1730,Intel Xeon E5607 @ 2.27GHz,2686,3,
1731,Intel Core i5 M 580 @ 2.67GHz,2684,3,
1732,Intel Core i5-5350U @ 1.80GHz,2682,3,
1733,Intel Core i5-4402E @ 1.60GHz,2681,3,
1734,Intel Core i3-4110M @ 2.60GHz,2678,3,
1735,Intel Pentium Silver N5030 @ 1.10GHz,2678,3,
1736,AMD 3015e,2674,3,
1737,AArch64 rev 0 (aarch64),2671,3,
1738,Qualcomm Technologies,score,percentage,3
1739,AMD A8-5500B APU,2663,3,
1740,Intel Xeon E5-2407 @ 2.20GHz,2661,3,
1741,Intel Core i5 650 @ 3.20GHz,2653,3,
1742,Intel Core i5 M 560 @ 2.67GHz,2653,3,
1743,Intel Core i3-3250T @ 3.00GHz,2650,3,
1744,AMD Phenom II X4 970,2649,3,
1745,AMD Phenom II X3 715,2649,3,
1746,Intel Celeron G5900T @ 3.20GHz,2648,3,
1747,Intel Core i5-3340M @ 2.70GHz,2645,3,
1748,Intel Celeron N5100 @ 1.10GHz,2644,3,
1749,Intel Core i7-3687U @ 2.10GHz,2643,3,
1750,AMD Opteron 2380,2640,3,
1751,AMD Athlon X4 740 Quad Core,2637,3,
1752,Intel Xeon X5482 @ 3.20GHz,2636,3,
1753,AMD FirePro A320 APU,2634,3,
1754,Intel Core2 Extreme X9770 @ 3.20GHz,2632,3,
1755,Intel Xeon X3440 @ 2.53GHz,2630,3,
1756,Intel Core i5-3320M @ 2.60GHz,2630,3,
1757,Intel Core i7-7Y75 @ 1.30GHz,2629,3,
1758,Intel Xeon E5-2609 @ 2.40GHz,2623,3,
1759,AMD Athlon 5350 APU with Radeon R3,2623,3,
1760,Intel Core i5-3610ME @ 2.70GHz,2623,3,
1761,Intel Core i3-6100U @ 2.30GHz,2621,3,
1762,Samsung Exynos 8895,2621,3,
1763,AMD A12-9720P,2612,3,
1764,Intel Xeon E5530 @ 2.40GHz,2607,3,
1765,AMD PRO A10-9700B,2602,3,
1766,Intel Core i3 530 @ 2.93GHz,2597,3,
1767,Intel Pentium G4400 @ 3.30GHz,2596,3,
1768,AMD Athlon II X4 6400e,2594,3,
1769,Intel Core i5-680 @ 3.60GHz,2593,3,
1770,Intel Pentium Silver N5000 @ 1.10GHz,2591,3,
1771,AMD 3020e,2591,3,
1772,Intel Core i7-4510U @ 2.00GHz,2589,3,
1773,Intel Core i3-5157U @ 2.50GHz,2588,3,
1774,AMD A8-5500 APU,2581,3,
1775,AMD FX-770K Quad-Core,2578,3,
1776,AMD A6-6310 APU with AMD Radeon R4 Graphics,2577,3,
1777,AMD Phenom II X4 B65,2576,3,
1778,Intel Core i3-7020U @ 2.30GHz,2576,3,
1779,Intel Celeron G4930 @ 3.20GHz,2575,3,
1780,MediaTek MT6779V/CE,2575,3,
1781,Intel Core m3-7Y30 @ 1.00GHz,2571,3,
1782,AMD Athlon II X4 557,2567,3,
1783,Intel Core i5-4258U @ 2.40GHz,2561,3,
1784,AMD A4-6250J APU with AMD Radeon R3 Graphics,2552,3,
1785,Intel Core i5-760 @ 2.80GHz,2547,3,
1786,Intel Xeon X5460 @ 3.16GHz,2546,3,
1787,AMD FX-4100 Quad-Core,2546,3,
1788,Intel Core i7-4500U @ 1.80GHz,2544,3,
1789,AMD Phenom II X4 B99,2536,3,
1790,Intel Core i5-4288U @ 2.60GHz,2533,3,
1791,AMD Phenom II X4 965,2525,3,
1792,Intel Xeon L5530 @ 2.40GHz,2522,3,
1793,Intel Core i3-7102E @ 2.10GHz,2521,3,
1794,Intel Pentium G4500T @ 3.00GHz,2518,3,
1795,Apple A9X,2517,3,
1796,Intel Core i5-3230M @ 2.60GHz,2511,3,
1797,Intel Xeon E5520 @ 2.27GHz,2508,3,
1798,Intel Core i5-5200U @ 2.20GHz,2508,3,
1799,AMD Athlon X4 605e,2505,3,
1800,AMD A10-9620P,2503,3,
1801,Intel Core i5-4300U @ 1.90GHz,2500,3,
1802,Intel Core i3-4330TE @ 2.40GHz,2500,3,
1803,Intel Core i5-5250U @ 1.60GHz,2497,3,
1804,Intel Core i5-4310U @ 2.00GHz,2495,3,
1805,Intel Xeon L7455 @ 2.13GHz,2494,3,
1806,Intel Core i7-3667U @ 2.00GHz,2488,3,
1807,Intel Core i5-670 @ 3.47GHz,2487,3,
1808,AMD Phenom II X4 975,2479,3,
1809,AMD Opteron 8439 SE,2479,3,
1810,Snapdragon 7c Gen 2 @ 2.55,2477,3,
1811,AMD Athlon II X4 559,2473,3,
1812,Intel Core i5-750 @ 2.67GHz,2472,3,
1813,AMD Phenom II X4 B97,2467,3,
1814,Intel Core i3-3245 @ 3.40GHz,2462,3,
1815,MediaTek MT6779V/CU,2461,3,
1816,Intel Xeon D-1602 @ 2.50GHz,2459,3,
1817,HiSilicon Kirin 970,2455,3,
1818,Intel Core2 Extreme X9650 @ 3.00GHz,2453,3,
1819,Intel Celeron N4100 @ 1.10GHz,2451,3,
1820,Intel Core i3-4100M @ 2.50GHz,2449,3,
1821,Intel Core i5 M 480 @ 2.67GHz,2448,3,
1822,Intel Xeon E5450 @ 3.00GHz,2447,3,
1823,Intel Core i5-3210M @ 2.50GHz,2447,3,
1824,Intel Celeron N4120 @ 1.10GHz,2447,3,
1825,Intel Xeon X3370 @ 3.00GHz,2446,3,
1826,Intel Core i7-4610Y @ 1.70GHz,2446,3,
1827,AMD Athlon II X4 650,2440,3,
1828,Intel Celeron G4900 @ 3.10GHz,2436,3,
1829,Qualcomm Technologies,score,percentage,3
1830,Intel Xeon E5472 @ 3.00GHz,2432,3,
1831,AMD Phenom II X4 955,2430,3,
1832,Intel Pentium G3470 @ 3.60GHz,2428,3,
1833,Intel Celeron G5905T @ 3.30GHz,2427,3,
1834,Intel Core i7 610E @ 2.53GHz,2425,3,
1835,Intel Xeon L3426 @ 1.87GHz,2423,3,
1836,Intel Core i5-661 @ 3.33GHz,2422,3,
1837,AMD Athlon II X4 553,2418,3,
1838,Intel Core i5 540M @ 2.53GHz,2412,3,
1839,Intel Core i7-2620M @ 2.70GHz,2406,3,
1840,Intel Celeron G4920 @ 3.20GHz,2406,3,
1841,Intel Pentium G4400T @ 2.90GHz,2404,3,
1842,Intel Core i7-2640M @ 2.80GHz,2401,3,
1843,HiSilicon Kirin 960,2401,3,
1844,AMD Phenom II X4 850,2397,3,
1845,AMD A12-9700P,2397,3,
1846,AMD PRO A12-8830B,2392,3,
1847,Intel Core i5-4260U @ 1.40GHz,2390,3,
1848,AMD Phenom II X4 B55,2390,3,
1849,Intel Pentium J4205 @ 1.50GHz,2384,3,
1850,Intel Core i7-3537U @ 2.00GHz,2382,3,
1851,AMD Opteron 4170 HE,2382,3,
1852,Intel Core2 Quad Q9650 @ 3.00GHz,2381,3,
1853,AMD PRO A8-9600B,2379,3,
1854,AMD Phenom II X4 977,2377,3,
1855,AMD Phenom II X4 8700e,2377,3,
1856,Intel Core i5 M 460 @ 2.53GHz,2376,3,
1857,Intel Xeon E5-2403 @ 1.80GHz,2375,3,
1858,Qualcomm Technologies,score,percentage,3
1859,Apple A8X,2370,3,
1860,Intel Celeron G3950 @ 3.00GHz,2369,3,
1861,Rockchip RK3399,2369,3,
1862,Intel Xeon X5450 @ 3.00GHz,2367,3,
1863,Intel Core i7-940XM @ 2.13GHz,2367,3,
1864,Intel Core i5-2390T @ 2.70GHz,2364,3,
1865,Intel Core i5 520M @ 2.40GHz,2364,3,
1866,Intel Xeon E5-2603 @ 1.80GHz,2362,3,
1867,Intel Atom C3558 @ 2.20GHz,2360,3,
1868,Intel Pentium 6405U @ 2.40GHz,2360,3,
1869,AMD Phenom II X4 B60,2357,3,
1870,Intel Core i7-4550U @ 1.50GHz,2354,3,
1871,AMD Phenom II X4 840,2354,3,
1872,Intel Core i5-660 @ 3.33GHz,2354,3,
1873,Intel Core i3-6102E @ 1.90GHz,2349,3,
1874,Intel Core2 Extreme X9750 @ 3.16GHz,2348,3,
1875,Intel Core i7 L 640 @ 2.13GHz,2346,3,
1876,Intel Core m7-6Y75 @ 1.20GHz,2346,3,
1877,AMD A8-3870K APU,2345,3,
1878,AMD Phenom II X4 B35,2341,3,
1879,Intel Xeon X5472 @ 3.00GHz,2340,3,
1880,Intel Core i3-3250 @ 3.50GHz,2338,3,
1881,AMD Athlon II X4 651 Quad-Core,2338,3,
1882,Snapdragon 7c @ 2.40 GHz,2333,3,
1883,AMD Ryzen 3 3250C 15W with Radeon Graphics,2332,3,
1884,AMD Ryzen 3 3250C,2332,3,
1885,Intel Celeron G4900T @ 2.90GHz,2331,3,
1886,Intel Core i7-4650U @ 1.70GHz,2328,3,
1887,Intel Core m5-6Y57 @ 1.10GHz,2328,3,
1888,Intel Xeon E5606 @ 2.13GHz,2326,3,
1889,MT6771V/WL,2325,3,
1890,AMD PRO A10-8730B,2322,3,
1891,Intel Core i7 640LM @ 2.13GHz,2318,3,
1892,AMD Athlon X3 445,2314,3,
1893,Intel Xeon L5520 @ 2.27GHz,2312,3,
1894,AMD A10-6700T APU,2311,3,
1895,AMD Athlon II X4 555,2310,3,
1896,Intel Celeron G3920 @ 2.90GHz,2310,3,
1897,Intel Xeon X3380 @ 3.16GHz,2308,3,
1898,Intel Core i5-8200Y @ 1.30GHz,2308,3,
1899,Intel Core i3-2140 @ 3.50GHz,2307,3,
1900,AMD FX-7600P,2306,3,
1901,Intel Core i5-4350U @ 1.40GHz,2305,3,
1902,Intel Core i3 M 390 @ 2.67GHz,2304,3,
1903,Intel Core i5-3427U @ 1.80GHz,2303,3,
1904,AMD Phenom II X4 B70,2303,3,
1905,Intel Core i5-2540M @ 2.60GHz,2302,3,
1906,AArch64 rev 1 (aarch64),2289,3,
1907,Intel Xeon X3360 @ 2.83GHz,2288,3,
1908,Intel Pentium 1403 v2 @ 2.60GHz,2284,3,
1909,AMD Opteron 3260 HE,2283,3,
1910,AMD Opteron 2376,2283,3,
1911,Intel Core i5-4210U @ 1.70GHz,2282,3,
1912,Intel Pentium 5405U @ 2.30GHz,2282,3,
1913,Intel Celeron G3930 @ 2.90GHz,2278,3,
1914,Intel Core i3-3240 @ 3.40GHz,2276,3,
1915,Intel Xeon L3360 @ 2.83GHz,2273,3,
1916,Intel Core2 Quad Q9550 @ 2.83GHz,2267,3,
1917,Intel Core2 Extreme Q6800 @ 2.93GHz,2267,3,
1918,Intel Core i3-6006U @ 2.00GHz,2267,3,
1919,Intel Core i5-3437U @ 1.90GHz,2265,3,
1920,AMD PRO A8-8600B,2262,3,
1921,Intel Core i7 620LM @ 2.00GHz,2260,3,
1922,Intel Celeron 6305 @ 1.80GHz,2259,3,
1923,Intel Celeron J3455E @ 1.50GHz,2256,3,
1924,Intel Xeon X3363 @ 2.83GHz,2255,3,
1925,AMD Opteron 8354,2255,3,
1926,AMD Phenom II X4 B95,2254,3,
1927,Intel Core M-5Y71 @ 1.20GHz,2250,3,
1928,Intel Xeon E5440 @ 2.83GHz,2249,3,
1929,AMD Phenom II X4 840T,2245,3,
1930,Intel Core i5 520 @ 2.40GHz,2244,3,
1931,Intel Core i5-520 @ 2.40GHz,2244,3,
1932,AMD Phenom II X4 945,2243,3,
1933,Intel Core2 Extreme Q6850 @ 3.00GHz,2243,3,
1934,AMD PRO A10-8700B,2242,3,
1935,AMD Athlon II X3 425e,2239,3,
1936,Intel Celeron 6305E @ 1.80GHz,2239,3,
1937,AMD Phenom II X4 B40,2238,3,
1938,AMD Phenom II X4 B50,2237,3,
1939,Intel Celeron J3455 @ 1.50GHz,2237,3,
1940,AMD A10-9600P,2236,3,
1941,Intel Pentium 4417U @ 2.30GHz,2233,3,
1942,Hisilicon Kirin970,2232,3,
1943,Intel Core i5-2520M @ 2.50GHz,2232,3,
1944,AMD A8-8600P,2231,3,
1945,AMD FX-9800P,2231,3,
1946,Intel Core i5-4250U @ 1.30GHz,2229,3,
1947,Intel Xeon X3353 @ 2.66GHz,2229,3,
1948,MT6969T,2228,3,
1949,Hisilicon Kirin820,2226,3,
1950,Intel Celeron G3900 @ 2.80GHz,2226,3,
1951,AMD Athlon II X4 645,2223,3,
